student_id,course_id,semestre_cursado,anio_cursado,nota,aprobado,num_intentos
UTP-0238,9,1,2024,73.0,True,2
UTP-0238,10,1,2024,82.2,True,2
UTP-0238,14,1,2024,84.1,True,1
UTP-0058,1,1,2020,89.0,True,1
UTP-0058,2,2,2021,84.4,True,1
UTP-0058,3,3,2021,89.2,True,1
UTP-0058,4,4,2022,77.8,True,1
UTP-0058,5,3,2021,83.8,True,1
UTP-0058,6,4,2022,84.3,True,1
UTP-0058,7,2,2021,80.3,True,1
UTP-0058,8,3,2021,80.6,True,1
UTP-0058,9,1,2020,91.7,True,1
UTP-0058,10,1,2020,91.3,True,1
UTP-0058,11,2,2021,96.8,True,1
UTP-0058,12,3,2021,90.3,True,1
UTP-0058,13,2,2021,91.5,True,1
UTP-0058,14,1,2020,74.9,True,1
UTP-0058,15,8,2024,100.0,True,1
UTP-0058,45,2,2021,83.7,True,1
UTP-0058,46,3,2021,88.9,True,1
UTP-0058,47,5,2022,70.8,True,2
UTP-0058,48,5,2022,97.6,True,1
UTP-0058,49,7,2023,79.8,True,1
UTP-0058,50,10,2025,84.8,True,1
UTP-0219,1,1,2022,67.6,False,1
UTP-0219,2,2,2023,75.8,True,1
UTP-0219,3,3,2023,80.7,True,2
UTP-0219,4,4,2024,60.9,False,1
UTP-0219,5,3,2023,91.2,True,1
UTP-0219,6,4,2024,74.3,True,1
UTP-0219,7,2,2023,72.6,True,1
UTP-0219,8,3,2023,77.8,True,1
UTP-0219,9,1,2022,79.8,True,1
UTP-0219,10,1,2022,82.1,True,1
UTP-0219,11,2,2023,83.8,True,1
UTP-0219,12,3,2023,100.0,True,1
UTP-0219,13,2,2023,80.4,True,1
UTP-0219,14,1,2022,82.5,True,1
UTP-0219,38,2,2023,79.3,True,1
UTP-0219,39,3,2023,79.7,True,1
UTP-0219,40,4,2024,80.4,True,1
UTP-0219,41,5,2024,76.0,True,1
UTP-0219,42,6,2025,56.7,False,1
UTP-0046,1,1,2023,100.0,True,1
UTP-0046,2,2,2024,83.6,True,1
UTP-0046,3,3,2024,95.2,True,1
UTP-0046,4,4,2025,81.7,True,1
UTP-0046,5,3,2024,97.2,True,1
UTP-0046,6,4,2025,100.0,True,1
UTP-0046,7,2,2024,95.3,True,1
UTP-0046,8,3,2024,96.1,True,1
UTP-0046,9,1,2023,100.0,True,1
UTP-0046,10,1,2023,100.0,True,1
UTP-0046,11,2,2024,98.0,True,1
UTP-0046,12,3,2024,100.0,True,1
UTP-0046,13,2,2024,100.0,True,1
UTP-0046,14,1,2023,90.2,True,1
UTP-0046,57,4,2025,92.5,True,1
UTP-0046,58,5,2025,98.4,True,1
UTP-0046,59,5,2025,90.4,True,1
UTP-0183,1,1,2023,90.9,True,1
UTP-0183,2,2,2024,73.7,True,1
UTP-0183,3,3,2024,75.9,True,1
UTP-0183,4,4,2025,81.0,True,2
UTP-0183,5,3,2024,80.0,True,1
UTP-0183,6,4,2025,71.1,True,1
UTP-0183,7,2,2024,80.4,True,2
UTP-0183,8,3,2024,87.6,True,1
UTP-0183,9,1,2023,73.1,True,1
UTP-0183,10,1,2023,77.0,True,1
UTP-0183,11,2,2024,82.0,True,2
UTP-0183,12,3,2024,79.8,True,1
UTP-0183,13,2,2024,74.3,True,1
UTP-0183,14,1,2023,98.0,True,1
UTP-0183,51,2,2024,88.0,True,1
UTP-0183,52,4,2025,85.7,True,2
UTP-0222,1,1,2022,78.3,True,1
UTP-0222,2,2,2023,82.9,True,2
UTP-0222,3,3,2023,52.7,False,1
UTP-0222,4,4,2024,30.3,False,1
UTP-0222,5,3,2023,78.6,True,1
UTP-0222,6,4,2024,49.2,False,1
UTP-0222,7,2,2023,42.1,False,1
UTP-0222,8,3,2023,81.0,True,2
UTP-0222,9,1,2022,79.8,True,1
UTP-0222,10,1,2022,76.4,True,1
UTP-0222,11,2,2023,88.5,True,2
UTP-0222,12,3,2023,70.0,True,1
UTP-0222,13,2,2023,72.1,True,1
UTP-0222,14,1,2022,71.4,True,1
UTP-0222,51,2,2023,62.5,False,1
UTP-0222,52,4,2024,56.1,False,1
UTP-0222,53,5,2024,59.8,False,1
UTP-0290,1,1,2023,44.3,False,1
UTP-0290,2,2,2024,43.1,False,1
UTP-0290,3,3,2024,31.8,False,1
UTP-0290,4,4,2025,39.6,False,1
UTP-0290,5,3,2024,42.4,False,1
UTP-0290,6,4,2025,41.5,False,1
UTP-0290,7,2,2024,46.8,False,1
UTP-0290,8,3,2024,56.5,False,1
UTP-0290,9,1,2023,57.7,False,1
UTP-0290,10,1,2023,42.8,False,1
UTP-0290,11,2,2024,47.4,False,1
UTP-0290,12,3,2024,74.0,True,2
UTP-0290,13,2,2024,47.5,False,1
UTP-0290,14,1,2023,53.5,False,1
UTP-0290,31,2,2024,54.7,False,1
UTP-0290,32,3,2024,42.6,False,1
UTP-0212,1,1,2023,80.1,True,2
UTP-0212,2,2,2024,45.2,False,1
UTP-0212,3,3,2024,51.1,False,1
UTP-0212,5,3,2024,63.4,False,1
UTP-0212,7,2,2024,43.1,False,1
UTP-0212,8,3,2024,71.8,True,2
UTP-0212,9,1,2023,60.7,False,1
UTP-0212,10,1,2023,70.3,True,1
UTP-0212,11,2,2024,74.7,True,2
UTP-0212,12,3,2024,76.8,True,1
UTP-0212,13,2,2024,66.9,False,1
UTP-0212,14,1,2023,79.8,True,2
UTP-0149,1,1,2020,71.5,True,1
UTP-0149,2,2,2021,81.1,True,2
UTP-0149,3,3,2021,73.7,True,2
UTP-0149,4,4,2022,78.2,True,2
UTP-0149,5,3,2021,81.3,True,2
UTP-0149,6,4,2022,82.5,True,2
UTP-0149,7,2,2021,54.3,False,1
UTP-0149,8,3,2021,79.5,True,1
UTP-0149,9,1,2020,73.1,True,2
UTP-0149,10,1,2020,87.7,True,2
UTP-0149,11,2,2021,75.2,True,2
UTP-0149,12,3,2021,82.6,True,1
UTP-0149,13,2,2021,73.1,True,1
UTP-0149,14,1,2020,85.5,True,1
UTP-0149,15,8,2024,75.1,True,1
UTP-0149,31,2,2021,72.7,True,1
UTP-0149,32,3,2021,81.3,True,2
UTP-0149,33,4,2022,82.6,True,1
UTP-0149,34,5,2022,56.0,False,1
UTP-0149,35,5,2022,86.7,True,2
UTP-0149,36,7,2023,70.6,True,1
UTP-0149,37,10,2025,72.9,True,2
UTP-0166,1,1,2021,78.2,True,1
UTP-0166,2,2,2022,73.7,True,1
UTP-0166,3,3,2022,75.0,True,1
UTP-0166,4,4,2023,81.1,True,2
UTP-0166,5,3,2022,87.4,True,1
UTP-0166,6,4,2023,97.4,True,1
UTP-0166,7,2,2022,70.2,True,1
UTP-0166,8,3,2022,70.6,True,2
UTP-0166,9,1,2021,79.0,True,1
UTP-0166,10,1,2021,100.0,True,1
UTP-0166,11,2,2022,78.3,True,1
UTP-0166,12,3,2022,97.8,True,1
UTP-0166,13,2,2022,98.1,True,1
UTP-0166,14,1,2021,80.3,True,1
UTP-0166,15,8,2025,94.2,True,1
UTP-0166,51,2,2022,92.7,True,1
UTP-0166,52,4,2023,71.7,True,1
UTP-0166,53,5,2023,78.1,True,1
UTP-0166,54,6,2024,75.0,True,1
UTP-0166,55,7,2024,76.6,True,1
UTP-0079,1,1,2024,82.5,True,1
UTP-0079,9,1,2024,77.9,True,1
UTP-0079,10,1,2024,93.0,True,1
UTP-0079,14,1,2024,86.6,True,1
UTP-0114,1,1,2022,76.1,True,1
UTP-0114,2,2,2023,56.7,False,1
UTP-0114,3,3,2023,71.8,True,1
UTP-0114,4,4,2024,70.8,True,1
UTP-0114,5,3,2023,58.2,False,1
UTP-0114,6,4,2024,77.2,True,1
UTP-0114,7,2,2023,79.0,True,1
UTP-0114,8,3,2023,73.3,True,2
UTP-0114,9,1,2022,87.6,True,1
UTP-0114,10,1,2022,82.5,True,1
UTP-0114,11,2,2023,73.5,True,1
UTP-0114,12,3,2023,78.7,True,1
UTP-0114,13,2,2023,83.6,True,1
UTP-0114,14,1,2022,79.8,True,1
UTP-0114,31,2,2023,78.5,True,1
UTP-0114,32,3,2023,74.3,True,2
UTP-0114,33,4,2024,70.5,True,1
UTP-0114,34,5,2024,74.1,True,2
UTP-0114,35,5,2024,77.6,True,2
UTP-0114,36,7,2025,61.9,False,1
UTP-0250,1,1,2021,72.8,True,2
UTP-0250,2,2,2022,78.8,True,2
UTP-0250,3,3,2022,72.0,True,2
UTP-0250,4,4,2023,54.1,False,1
UTP-0250,5,3,2022,50.5,False,1
UTP-0250,6,4,2023,75.4,True,2
UTP-0250,7,2,2022,77.9,True,2
UTP-0250,8,3,2022,55.4,False,1
UTP-0250,9,1,2021,77.8,True,1
UTP-0250,10,1,2021,76.9,True,2
UTP-0250,11,2,2022,65.8,False,1
UTP-0250,12,3,2022,73.1,True,2
UTP-0250,13,2,2022,75.5,True,2
UTP-0250,14,1,2021,75.0,True,2
UTP-0250,16,1,2021,87.2,True,2
UTP-0250,17,2,2022,73.4,True,2
UTP-0250,18,3,2022,47.9,False,1
UTP-0250,19,4,2023,48.6,False,1
UTP-0250,20,5,2023,39.5,False,1
UTP-0250,21,5,2023,63.3,False,1
UTP-0250,22,6,2024,45.4,False,1
UTP-0250,23,5,2023,42.0,False,1
UTP-0250,24,6,2024,73.0,True,2
UTP-0250,25,5,2023,74.2,True,1
UTP-0250,26,7,2024,54.2,False,1
UTP-0250,28,6,2024,82.4,True,2
UTP-0251,1,1,2021,59.0,False,1
UTP-0251,2,2,2022,52.6,False,1
UTP-0251,3,3,2022,75.6,True,2
UTP-0251,4,4,2023,46.1,False,1
UTP-0251,5,3,2022,80.5,True,2
UTP-0251,6,4,2023,72.2,True,2
UTP-0251,7,2,2022,48.0,False,1
UTP-0251,8,3,2022,74.9,True,2
UTP-0251,9,1,2021,72.9,True,2
UTP-0251,10,1,2021,70.4,True,2
UTP-0251,11,2,2022,86.3,True,2
UTP-0251,12,3,2022,56.2,False,1
UTP-0251,13,2,2022,81.2,True,2
UTP-0251,14,1,2021,71.0,True,2
UTP-0251,45,2,2022,62.1,False,1
UTP-0251,46,3,2022,74.3,True,2
UTP-0251,47,5,2023,53.2,False,1
UTP-0251,48,5,2023,59.9,False,1
UTP-0251,49,7,2024,74.8,True,2
UTP-0105,1,1,2021,85.6,True,1
UTP-0105,2,2,2022,76.2,True,1
UTP-0105,3,3,2022,75.2,True,2
UTP-0105,4,4,2023,72.6,True,2
UTP-0105,5,3,2022,78.7,True,1
UTP-0105,6,4,2023,76.3,True,1
UTP-0105,7,2,2022,74.6,True,1
UTP-0105,8,3,2022,76.6,True,1
UTP-0105,9,1,2021,85.4,True,1
UTP-0105,10,1,2021,85.6,True,1
UTP-0105,11,2,2022,90.0,True,1
UTP-0105,12,3,2022,86.6,True,1
UTP-0105,13,2,2022,70.3,True,1
UTP-0105,14,1,2021,78.6,True,1
UTP-0105,15,8,2025,90.0,True,1
UTP-0105,31,2,2022,71.5,True,1
UTP-0105,32,3,2022,85.9,True,1
UTP-0105,33,4,2023,88.4,True,1
UTP-0105,34,5,2023,85.9,True,1
UTP-0105,35,5,2023,74.4,True,1
UTP-0105,36,7,2024,88.1,True,1
UTP-0043,1,1,2021,86.2,True,1
UTP-0043,2,2,2022,77.4,True,1
UTP-0043,3,3,2022,75.1,True,1
UTP-0043,4,4,2023,72.6,True,1
UTP-0043,5,3,2022,81.9,True,1
UTP-0043,6,4,2023,86.4,True,1
UTP-0043,7,2,2022,81.3,True,1
UTP-0043,8,3,2022,80.1,True,1
UTP-0043,9,1,2021,88.5,True,1
UTP-0043,10,1,2021,99.6,True,1
UTP-0043,11,2,2022,97.6,True,1
UTP-0043,12,3,2022,78.2,True,1
UTP-0043,13,2,2022,79.0,True,2
UTP-0043,14,1,2021,97.5,True,1
UTP-0043,31,2,2022,74.1,True,1
UTP-0043,32,3,2022,83.3,True,1
UTP-0043,33,4,2023,70.7,True,1
UTP-0043,34,5,2023,77.7,True,2
UTP-0043,35,5,2023,84.4,True,1
UTP-0043,36,7,2024,86.1,True,1
UTP-0282,1,1,2023,46.1,False,1
UTP-0282,2,2,2024,25.0,False,1
UTP-0282,3,3,2024,41.3,False,1
UTP-0282,4,4,2025,43.8,False,1
UTP-0282,5,3,2024,38.8,False,1
UTP-0282,6,4,2025,52.1,False,1
UTP-0282,7,2,2024,45.6,False,1
UTP-0282,8,3,2024,50.3,False,1
UTP-0282,9,1,2023,51.6,False,1
UTP-0282,10,1,2023,47.9,False,1
UTP-0282,11,2,2024,81.9,True,2
UTP-0282,12,3,2024,54.4,False,1
UTP-0282,13,2,2024,55.5,False,1
UTP-0282,14,1,2023,48.2,False,1
UTP-0282,51,2,2024,47.1,False,1
UTP-0282,52,4,2025,38.6,False,1
UTP-0296,1,1,2023,76.0,True,2
UTP-0296,2,2,2024,83.8,True,2
UTP-0296,3,3,2024,45.0,False,1
UTP-0296,4,4,2025,38.0,False,1
UTP-0296,5,3,2024,72.7,True,1
UTP-0296,6,4,2025,59.3,False,1
UTP-0296,7,2,2024,50.6,False,1
UTP-0296,8,3,2024,74.1,True,2
UTP-0296,9,1,2023,56.1,False,1
UTP-0296,10,1,2023,80.5,True,1
UTP-0296,11,2,2024,71.4,True,1
UTP-0296,12,3,2024,77.2,True,2
UTP-0296,13,2,2024,83.2,True,1
UTP-0296,14,1,2023,61.1,False,1
UTP-0296,51,2,2024,77.0,True,2
UTP-0296,52,4,2025,58.3,False,1
UTP-0296,53,5,2025,71.3,True,1
UTP-0158,1,1,2023,78.0,True,1
UTP-0158,2,2,2024,60.7,False,1
UTP-0158,3,3,2024,54.5,False,1
UTP-0158,5,3,2024,85.1,True,2
UTP-0158,7,2,2024,55.1,False,1
UTP-0158,8,3,2024,76.6,True,1
UTP-0158,9,1,2023,86.5,True,2
UTP-0158,10,1,2023,86.1,True,2
UTP-0158,11,2,2024,72.0,True,1
UTP-0158,12,3,2024,59.7,False,1
UTP-0158,13,2,2024,62.7,False,1
UTP-0158,14,1,2023,80.1,True,1
UTP-0239,1,1,2024,57.6,False,1
UTP-0239,9,1,2024,54.4,False,1
UTP-0239,10,1,2024,72.1,True,1
UTP-0239,14,1,2024,77.3,True,1
UTP-0018,1,1,2020,93.8,True,1
UTP-0018,2,2,2021,91.0,True,1
UTP-0018,3,3,2021,77.0,True,1
UTP-0018,4,4,2022,73.7,True,2
UTP-0018,5,3,2021,100.0,True,1
UTP-0018,6,4,2022,85.5,True,1
UTP-0018,7,2,2021,81.1,True,1
UTP-0018,8,3,2021,93.7,True,1
UTP-0018,9,1,2020,92.5,True,1
UTP-0018,10,1,2020,96.7,True,1
UTP-0018,11,2,2021,100.0,True,1
UTP-0018,12,3,2021,87.9,True,1
UTP-0018,13,2,2021,100.0,True,1
UTP-0018,14,1,2020,93.5,True,1
UTP-0018,15,8,2024,100.0,True,1
UTP-0018,16,1,2020,100.0,True,1
UTP-0018,17,2,2021,92.1,True,1
UTP-0018,18,3,2021,87.4,True,1
UTP-0018,19,4,2022,96.7,True,1
UTP-0018,20,5,2022,80.2,True,1
UTP-0018,21,5,2022,81.4,True,1
UTP-0018,22,6,2023,74.7,True,1
UTP-0018,23,5,2022,72.3,True,1
UTP-0018,24,6,2023,99.5,True,1
UTP-0018,25,5,2022,74.2,True,1
UTP-0018,26,7,2023,81.3,True,1
UTP-0018,27,8,2024,80.9,True,1
UTP-0018,28,6,2023,90.5,True,1
UTP-0018,29,8,2024,94.6,True,1
UTP-0165,1,1,2021,84.3,True,1
UTP-0165,2,2,2022,81.6,True,2
UTP-0165,3,3,2022,71.1,True,1
UTP-0165,4,4,2023,80.1,True,2
UTP-0165,5,3,2022,75.4,True,1
UTP-0165,6,4,2023,90.2,True,1
UTP-0165,7,2,2022,76.3,True,1
UTP-0165,8,3,2022,78.3,True,1
UTP-0165,9,1,2021,82.7,True,1
UTP-0165,10,1,2021,91.8,True,1
UTP-0165,11,2,2022,83.8,True,1
UTP-0165,12,3,2022,72.0,True,1
UTP-0165,13,2,2022,85.6,True,1
UTP-0165,14,1,2021,77.2,True,1
UTP-0165,15,8,2025,83.2,True,1
UTP-0165,51,2,2022,82.1,True,1
UTP-0165,52,4,2023,82.3,True,1
UTP-0165,53,5,2023,77.6,True,1
UTP-0165,54,6,2024,79.9,True,1
UTP-0165,55,7,2024,96.0,True,1
UTP-0034,1,1,2021,90.8,True,1
UTP-0034,2,2,2022,100.0,True,1
UTP-0034,3,3,2022,88.4,True,1
UTP-0034,4,4,2023,70.3,True,2
UTP-0034,5,3,2022,94.9,True,1
UTP-0034,6,4,2023,91.9,True,1
UTP-0034,7,2,2022,94.1,True,1
UTP-0034,8,3,2022,89.2,True,1
UTP-0034,9,1,2021,87.7,True,1
UTP-0034,10,1,2021,84.0,True,1
UTP-0034,11,2,2022,92.2,True,1
UTP-0034,12,3,2022,87.0,True,1
UTP-0034,13,2,2022,89.2,True,1
UTP-0034,14,1,2021,98.5,True,1
UTP-0034,15,8,2025,100.0,True,1
UTP-0034,31,2,2022,92.0,True,1
UTP-0034,32,3,2022,79.3,True,1
UTP-0034,33,4,2023,87.4,True,1
UTP-0034,34,5,2023,93.4,True,1
UTP-0034,35,5,2023,79.0,True,1
UTP-0034,36,7,2024,82.8,True,1
UTP-0025,1,1,2020,89.9,True,1
UTP-0025,2,2,2021,78.5,True,1
UTP-0025,3,3,2021,90.0,True,1
UTP-0025,4,4,2022,78.9,True,1
UTP-0025,5,3,2021,93.2,True,1
UTP-0025,6,4,2022,82.7,True,1
UTP-0025,7,2,2021,81.3,True,1
UTP-0025,8,3,2021,90.6,True,1
UTP-0025,9,1,2020,86.8,True,1
UTP-0025,10,1,2020,100.0,True,1
UTP-0025,11,2,2021,91.6,True,1
UTP-0025,12,3,2021,96.6,True,1
UTP-0025,13,2,2021,100.0,True,1
UTP-0025,14,1,2020,83.5,True,1
UTP-0025,15,8,2024,85.7,True,1
UTP-0025,16,1,2020,82.6,True,1
UTP-0025,17,2,2021,99.9,True,1
UTP-0025,18,3,2021,80.4,True,1
UTP-0025,19,4,2022,100.0,True,1
UTP-0025,20,5,2022,80.3,True,1
UTP-0025,21,5,2022,91.3,True,1
UTP-0025,22,6,2023,97.2,True,1
UTP-0025,23,5,2022,100.0,True,1
UTP-0025,24,6,2023,100.0,True,1
UTP-0025,25,5,2022,94.5,True,1
UTP-0025,26,7,2023,93.0,True,1
UTP-0025,27,8,2024,89.6,True,1
UTP-0025,28,6,2023,96.0,True,1
UTP-0025,29,8,2024,85.4,True,1
UTP-0025,30,10,2025,73.3,True,1
UTP-0216,1,1,2020,61.6,False,1
UTP-0216,2,2,2021,55.3,False,1
UTP-0216,3,3,2021,72.9,True,2
UTP-0216,4,4,2022,72.0,True,2
UTP-0216,5,3,2021,84.6,True,2
UTP-0216,6,4,2022,73.1,True,2
UTP-0216,7,2,2021,80.6,True,2
UTP-0216,8,3,2021,47.5,False,1
UTP-0216,9,1,2020,60.1,False,1
UTP-0216,10,1,2020,75.8,True,2
UTP-0216,11,2,2021,51.7,False,1
UTP-0216,12,3,2021,83.4,True,2
UTP-0216,13,2,2021,81.4,True,2
UTP-0216,14,1,2020,78.7,True,1
UTP-0216,15,8,2024,76.7,True,1
UTP-0216,16,1,2020,58.4,False,1
UTP-0216,17,2,2021,76.5,True,1
UTP-0216,18,3,2021,74.4,True,2
UTP-0216,19,4,2022,75.2,True,2
UTP-0216,20,5,2022,54.8,False,1
UTP-0216,21,5,2022,54.0,False,1
UTP-0216,22,6,2023,53.7,False,1
UTP-0216,23,5,2022,70.3,True,1
UTP-0216,24,6,2023,71.7,True,1
UTP-0216,25,5,2022,88.0,True,2
UTP-0216,26,7,2023,52.7,False,1
UTP-0216,27,8,2024,47.7,False,1
UTP-0216,28,6,2023,77.8,True,2
UTP-0216,29,8,2024,47.5,False,1
UTP-0216,30,10,2025,70.1,True,2
